"Time","Phocaeicola_A_858004","Bacteroides_H","Faecalibacterium","Paramuribaculum","Lachnospira","Parabacteroides_B_862066","Phascolarctobacterium_A","Ruminococcus_E","Gemmiger_A_73129","Prevotella"
336,7327,5431,969,314,63,684,362,450,79,0
337,6980,6197,880,301,66,620,226,477,83,0
338,4739,5976,1040,623,53,926,338,671,140,0
339,3436,5899,973,1145,31,1179,612,619,168,0
340,2734,5436,947,1545,9,1329,792,511,206,0
341,1912,5140,2210,479,41,558,310,981,177,0
342,2091,3766,1905,304,34,506,187,904,306,137
343,2256,2248,1352,258,24,562,129,571,472,322
344,5338,6323,1130,508,33,1323,72,131,129,5
345,3837,4738,1795,814,37,1864,97,438,251,0
346,3376,5103,1509,851,23,1796,145,640,405,18
347,3027,5833,1009,847,18,1536,246,888,508,60
348,2943,6345,760,889,4,1252,298,975,579,82
349,6331,4475,1373,800,73,918,312,125,327,0
350,6167,4528,1179,1004,47,877,294,104,361,1
351,6131,4505,914,1175,31,892,283,80,399,2
352,5644,4187,475,613,148,982,519,492,324,0
353,7410,4375,384,620,85,750,399,315,380,6
354,8799,4505,353,414,81,694,271,179,300,4
355,9908,4460,339,234,91,612,167,126,194,8
356,5484,3552,1625,458,329,637,336,841,491,2
357,5390,4007,1796,529,198,724,294,1172,351,3
358,5514,4573,1807,557,87,728,226,1346,219,6
359,6388,5111,1678,447,143,568,225,827,144,3
360,7364,5586,1513,334,190,356,200,157,92,0
361,5256,5507,1341,447,137,582,204,92,300,17
362,4848,4512,1145,567,103,736,337,152,389,1
363,7592,3922,1059,479,116,648,381,361,250,0
364,5934,3829,1886,606,95,632,443,547,385,9
365,6666,4634,1256,452,178,639,376,334,238,13
366,7583,5327,530,268,249,745,272,101,97,12
367,7606,5461,370,276,182,897,133,245,118,6
368,7780,5499,301,286,94,995,45,420,127,0
369,7533,6094,374,249,60,743,97,687,90,0
370,6110,5610,558,766,178,1419,25,108,165,0
371,6182,4010,985,823,421,785,183,395,305,0
372,5129,5293,1206,529,66,1355,146,268,179,3
373,5687,5697,1214,403,121,1104,68,163,118,0
374,677,512,421,65,11,196,52,220,176,2327
375,3349,1746,710,110,3,288,110,160,401,1498
376,7266,4890,880,205,89,1117,28,132,161,0
377,4790,5057,675,176,76,467,250,3562,100,0
378,2179,1422,668,118,51,271,86,688,326,1793
379,6394,4916,874,549,87,745,188,306,217,7
380,5342,5405,877,666,129,780,275,442,284,13
381,4565,5659,915,737,164,837,338,566,341,20
382,6606,5756,747,476,122,836,260,343,199,9
383,8648,5719,580,215,82,879,182,120,62,0
384,7808,5137,874,310,156,1132,223,143,107,0
385,6396,4718,755,497,182,882,632,428,256,4
386,6526,4914,1482,433,172,1061,247,208,219,0
387,3942,3117,993,314,138,672,177,465,627,1178
388,1417,1323,458,223,85,359,153,707,984,2306
389,2612,5543,691,709,118,1040,380,661,888,38
390,2135,5357,1604,373,129,922,165,678,316,0
391,4962,4712,1049,543,154,1152,78,833,277,2
392,5035,4599,1070,492,142,1236,80,845,301,1
393,5083,4596,1141,411,101,1220,88,859,300,1
394,5083,4838,1173,305,68,1150,101,809,275,0
395,4992,4896,1244,205,46,1116,120,809,265,0
396,4940,4912,1265,168,40,1070,139,784,266,0
397,5163,4823,1511,366,110,990,214,680,283,0
398,5410,4618,1792,629,200,965,288,484,302,0
399,6121,4687,1328,547,175,1003,166,565,241,0
400,6764,4602,929,447,134,1037,46,606,205,0
401,3214,2070,1195,452,202,554,159,592,545,974
402,3573,2422,1203,446,183,592,298,578,498,858
403,4460,3079,1055,462,170,739,444,574,410,598
404,5451,3920,892,472,138,874,580,543,296,308
405,6249,4512,769,497,118,1006,683,550,216,86
406,6664,4785,680,481,112,1059,659,533,173,0
407,6661,4781,701,558,101,1064,566,518,155,0
408,6471,4842,773,638,100,1030,412,486,162,1
409,6408,4797,879,700,99,978,280,546,120,1
410,6330,4757,970,715,98,955,227,497,134,2
411,6457,4945,1260,517,133,881,291,527,100,2
412,6705,5291,1398,338,154,782,374,479,93,0
413,7395,5180,1025,414,131,843,307,236,96,0
414,6708,5208,1087,415,228,655,339,215,177,1
415,4866,5338,2242,184,182,474,270,716,121,0
416,5089,6921,676,395,452,789,328,423,160,2
417,6299,6941,692,316,450,597,154,431,179,0
418,4055,6312,1042,473,290,1059,467,1219,189,0
419,2814,4578,792,409,208,878,384,1080,226,808
420,1663,2340,416,203,134,403,209,768,240,1940
421,1247,1376,250,134,99,217,139,607,244,2379
422,1260,1469,255,130,107,222,129,574,246,2384
423,1422,1694,272,130,95,231,141,524,248,2362
424,1564,1926,365,146,92,236,123,510,260,2214
425,1831,2247,429,179,105,230,130,450,239,2113
426,2113,2637,541,194,105,276,144,401,213,1943
427,2455,3056,621,208,109,297,151,383,239,1776
428,2905,3567,753,229,95,317,152,345,202,1545
429,3354,4049,811,272,97,325,143,308,198,1339
430,3654,4546,998,293,122,352,145,277,195,1163
431,4153,5016,1070,311,123,388,167,249,172,912
432,4599,5465,1183,353,125,418,144,229,172,682
433,4936,6033,1285,350,130,445,138,204,154,544
434,5419,6278,1351,400,121,503,149,190,162,336
435,5799,6495,1388,399,132,500,148,186,127,208
436,6042,6745,1445,409,125,555,143,171,114,96
437,6374,6733,1491,426,119,545,135,162,100,25
438,6505,6728,1466,381,130,589,135,145,90,0
439,7105,6055,949,255,126,734,32,164,78,0
440,7227,6083,647,265,108,774,33,179,97,0
441,7044,6429,393,359,67,814,41,223,137,0
442,6409,7232,234,602,20,851,72,289,218,0
